Student_ID,Gender,Age,State,City,College_Type,Degree_Stream,10th_Percentage,12th_Percentage,Graduation_Percentage,CGPA,Backlogs,Attendance,Internship,Internship_Months,Projects,Certifications,Aptitude_Score,Coding_Score,Communication_Score,Technical_Score,Mock_Interview_Score,Resume_Score,Company_Type,Placement_Package_LPA,Placement_Status
SP100001,Female,24,Tamil Nadu,Bhopal,Private,MBA,84,77,74,9.19,0,78,No,0,6,5,91,68,68,96,81,71,Startup,7.47,Placed
SP100002,Female,23,Gujarat,Mumbai,Government,B.Tech,68,77,58,6.34,4,71,No,0,3,2,69,56,52,53,79,67,,0.0,Not Placed
SP100003,Male,24,Delhi,Lucknow,Private,B.Sc,82,86,68,8.1,2,100,No,0,7,5,77,60,79,45,72,82,MNC,2.96,Placed
SP100004,Female,21,Uttar Pradesh,Chennai,Government,B.Tech,87,50,73,7.6,2,93,No,0,6,8,61,71,77,68,81,84,MNC,2.5,Placed
SP100005,Male,23,Gujarat,Chennai,Autonomous,BCA,73,62,68,6.39,3,81,No,0,1,4,61,52,45,64,54,72,,0.0,Not Placed
SP100006,Female,21,Maharashtra,Jaipur,Private,MBA,86,77,71,7.84,2,83,Yes,5,5,6,69,65,82,51,71,80,Product,2.63,Placed
SP100007,Female,20,Delhi,Chennai,Private,B.Tech,83,69,87,7.33,3,92,No,0,4,2,72,80,65,63,62,66,,0.0,Not Placed
SP100008,Female,26,Maharashtra,Bhopal,Private,B.Sc,69,50,71,5.0,5,75,No,0,4,6,40,39,68,56,45,53,,0.0,Not Placed
SP100009,Male,25,Karnataka,Ahmedabad,Private,B.Com,86,89,82,9.03,1,98,Yes,5,3,2,75,82,52,82,75,60,Product,7.47,Placed
SP100010,Female,25,Tamil Nadu,Indore,Private,B.Sc,89,87,95,6.03,3,91,No,0,2,3,64,57,58,84,66,73,MNC,2.5,Placed
SP100011,Female,27,Maharashtra,Lucknow,Autonomous,B.Sc,65,70,70,7.04,2,81,No,0,1,6,81,48,82,69,90,72,Government,2.74,Placed
SP100012,Male,25,Delhi,Ahmedabad,Private,MBA,62,64,90,7.24,3,82,No,0,6,5,73,67,56,66,67,56,,0.0,Not Placed
SP100013,Male,21,Uttar Pradesh,Chennai,Autonomous,B.Tech,86,75,71,8.16,1,87,Yes,5,3,2,71,77,75,58,77,88,Product,4.53,Placed
SP100014,Male,20,Delhi,Delhi,Private,B.Sc,82,66,61,8.3,4,89,Yes,2,5,4,74,91,60,52,74,60,MNC,3.43,Placed
SP100015,Male,24,Gujarat,Ahmedabad,Autonomous,MCA,89,68,69,6.3,4,67,Yes,5,2,4,61,61,76,84,76,72,Product,5.48,Placed
SP100016,Female,24,Maharashtra,Lucknow,Government,B.Tech,64,69,55,5.36,3,76,Yes,2,4,3,69,54,53,46,56,63,,0.0,Not Placed
SP100017,Male,24,Rajasthan,Pune,Government,BCA,66,87,74,8.49,2,72,Yes,4,6,2,60,74,76,48,67,52,Service,5.69,Placed
SP100018,Female,23,Tamil Nadu,Ahmedabad,Government,B.Sc,79,80,70,6.98,2,86,Yes,7,5,5,82,79,72,79,71,72,Product,5.45,Placed
SP100019,Female,23,Gujarat,Pune,Private,BBA,91,71,80,9.01,2,78,Yes,5,5,7,71,68,85,66,66,66,Product,5.52,Placed
SP100020,Female,22,Gujarat,Delhi,Government,B.Tech,58,57,61,5.3,5,69,No,0,2,3,66,73,43,52,49,67,,0.0,Not Placed
SP100021,Female,23,Delhi,Lucknow,Private,MBA,84,90,88,9.9,0,85,Yes,8,3,7,71,79,62,80,93,78,Service,8.16,Placed
SP100022,Male,22,Maharashtra,Ahmedabad,Autonomous,MBA,70,61,85,8.61,3,80,Yes,6,4,5,91,75,77,71,85,99,Product,6.13,Placed
SP100023,Male,24,Delhi,Bhopal,Private,MCA,57,61,58,7.8,2,84,Yes,1,4,4,65,71,58,63,65,65,Service,2.5,Placed
SP100024,Male,23,Delhi,Chennai,Government,BBA,98,90,94,8.52,0,90,No,0,5,7,99,100,71,81,89,87,MNC,8.64,Placed
SP100025,Female,20,Uttar Pradesh,Delhi,Autonomous,B.Com,70,65,73,7.95,3,76,Yes,3,7,5,70,90,66,55,68,67,Startup,3.27,Placed
SP100026,Female,22,Gujarat,Mumbai,Autonomous,MBA,81,64,59,7.33,3,72,No,0,2,6,59,81,49,42,57,50,,0.0,Not Placed
SP100027,Male,25,Karnataka,Pune,Private,MBA,67,68,84,7.76,3,70,Yes,5,3,7,67,47,51,43,63,70,MNC,2.5,Placed
SP100028,Female,24,Madhya Pradesh,Indore,Private,B.Tech,50,62,63,6.77,4,73,No,0,7,3,53,44,54,53,40,40,,0.0,Not Placed
SP100029,Female,27,Tamil Nadu,Jaipur,Private,B.Com,72,88,70,7.56,1,73,Yes,7,6,7,75,51,63,82,77,66,Startup,2.5,Placed
SP100030,Female,22,Rajasthan,Pune,Autonomous,B.Com,62,70,72,7.06,4,90,Yes,3,5,4,58,47,62,55,53,42,,0.0,Not Placed
SP100031,Female,22,Gujarat,Mumbai,Government,B.Tech,62,67,53,8.93,3,76,Yes,1,5,5,58,49,59,77,79,57,MNC,4.18,Placed
SP100032,Female,25,Maharashtra,Chennai,Government,B.Tech,79,88,93,7.94,3,72,Yes,9,5,8,86,85,74,78,73,73,Service,8.42,Placed
SP100033,Male,24,Gujarat,Bhopal,Private,BBA,59,73,77,5.0,3,73,No,0,4,0,65,36,71,60,60,80,Service,2.5,Placed
SP100034,Male,23,Karnataka,Bengaluru,Private,B.Com,94,82,64,8.1,2,95,Yes,3,4,9,83,70,76,74,58,67,Government,3.86,Placed
SP100035,Male,21,Karnataka,Bengaluru,Private,B.Sc,50,56,61,5.0,5,81,Yes,1,4,3,40,51,43,35,58,46,,0.0,Not Placed
SP100036,Male,23,Madhya Pradesh,Ahmedabad,Private,B.Com,59,82,63,7.1,4,85,Yes,3,6,3,73,53,69,60,81,73,Startup,2.5,Placed
